name,committee,status,url
Michael Chandler,The New 24th Ward Dem Org Formerly Comm To Elect Michael D,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12107
Michael Chandler,Citizens to Re-Elect Michael D Chandler,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14947
Michael Chandler,24th Ward Regular Democratic Organization,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14948
Michael Chandler,Citizens for Chandler for Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24464
Michael R Zalewski,23rd Ward Democratic Org,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=220
Michael R Zalewski,Friends of Mike Zalewski,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael R Zalewski,23rd Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michele Smith,Michele Smith for Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23895
Michele Smith,Friends of Michele Smith,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19682
Michele Smith,43rd Ward Democrats,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21283
Michelle A Harris,Friends of Michelle A Harris,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20016
Michelle A Harris,8th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=553
Natashia Holmes,Friends of Natashia Holmes,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25284
Natashia Holmes,7th Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25332
Nicholas Sposato,Friends of Nicholas Sposato,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19830
