query,candidate_name_match,candidate_office,candidate_url
Nicholas Sposato,Nicholas Sposato,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=26495
Pat Dowell,Pat Dowell,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=17696
Pat Dowell,Pat Dowell,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22238
Patrick O'Connor,Patrick J O'Connor,State's Attorney/Cook County,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=633
Patrick O'Connor,Patrick J O'Connor,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=2649
Patrick O'Connor,Patrick J O'Connor,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=10638
Proco Moreno,"Proco ""Joe"" Moreno",State Senator 2nd District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22068
Proco Moreno,Proco Joe Moreno,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=24885
Regner Suarez,"Regner ""Ray"" Suarez",Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=2614
Rey Colon,Rey Colon,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=13838
Rey Colon,Rey Colon,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=18825
Ricardo Munoz,Ricardo Munoz,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=7187
Ricardo Munoz,Ricardo Munoz,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14810
Ricardo Munoz,Ricardo Munoz,State Central Committeeman/4th District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=24348
Roberto Maldonado,Roberto Maldonado,County Board Member/Cook County,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=12655
Roberto Maldonado,Roberto Maldonado,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14712
Roberto Maldonado,Roberto Maldonado,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=23923
Roderick Sawyer,Roderick T Sawyer,State Representative 26th District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=4623
Roderick Sawyer,Roderick T Sawyer,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=10268
Roderick Sawyer,Roderick T Sawyer,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25044
Scott Waguespack,Scott Waguespack,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21073
Scott Waguespack,Scott Waguespack,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=26388
Tim Cullerton,Tim Cullerton,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25249
Tom Tunney,Tom Tunney,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=17880
Tom Tunney,Tom Tunney,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22249
Toni Foulkes,Toni L Foulkes,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21287
Toni Foulkes,Toni L Foulkes,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22262
"Walter Burnett,","Walter Burnett, Jr",Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=8848
Will Burns,Will Burns,State Representative 26th District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22298
Will Burns,Will Burns,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25573
Willie Cochran,Willie B Cochran,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21059
Willie Cochran,Willie B Cochran,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22261
